"borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"3143",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2280,12,NA,"A5","408 EAST 136TH STREET                    ","            ",10454,1,0,1,1422,1944,1901,1,"A5","$ 405,000","2015-12-31",405000,1944,1422,0
"3144",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2280,13,NA,"A5","410 EAST 136TH STREET                    ","            ",10454,1,0,1,2000,2256,1901,1,"A5","$ 355,000","2015-05-28",355000,2256,2000,0
"3145",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2280,69,NA,"A5","423 EAST 135TH STREET                    ","            ",10454,1,0,1,1666,3008,1901,1,"A5","$ 450,000","2015-05-29",450000,3008,1666,0
"3148",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2285,86,NA,"A5","415 EAST 140TH STREET                    ","            ",10454,1,0,1,1775,3200,1901,1,"A5","$ 635,000","2015-11-12",635000,3200,1775,0
"3149",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2285,86,NA,"A5","415 E 140TH ST                           ","            ",10454,1,0,1,1775,3200,1901,1,"A5","$ 125,000","2015-10-08",125000,3200,1775,0
"3150",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2286,29,NA,"A5","438 EAST 142ND STREET                    ","            ",10454,1,0,1,1650,2112,1910,1,"A5","$ 200,000","2015-09-04",2e+05,2112,1650,0
"3151",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2287,21,NA,"A5","432 EAST 143 ST                          ","            ",10454,1,0,1,1400,952,1899,1,"A5","$ 165,000","2015-10-08",165000,952,1400,0
"3152",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2287,22,NA,"A5","434 EAST 143RD STREET                    ","            ",10454,1,0,1,1400,1428,1899,1,"A5","$ 246,909","2015-10-27",246909,1428,1400,0
"3153",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2288,81,NA,"A5","439 EAST 143 STREET                      ","            ",10454,1,0,1,2500,3375,1910,1,"A5","$ 260,000","2015-08-03",260000,3375,2500,0
"3154",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2315,21,NA,"A9","311 EAST 140TH STREET                    ","            ",10454,1,0,1,2500,1562,1901,1,"A9","$ 525,000","2015-05-15",525000,1562,2500,0
"3155",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2571,30,NA,"A5","383 POWERS AVENUE                        ","            ",10454,1,0,1,1810,1104,1999,1,"A5","$ 355,000","2016-03-18",355000,1104,1810,0
"3156",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2573,4,NA,"A5","326 JACKSON AVENUE                       ","            ",10454,1,0,1,1600,1472,1910,1,"A5","$ 255,000","2016-01-11",255000,1472,1600,0
"3157",2,"MOTT HAVEN/PORT MORRIS   ","01  ONE FAMILY DWELLINGS                    ","1",2573,4,NA,"A5","326 JACKSON AVE                          ","            ",10454,1,0,1,1600,1472,1910,1,"A5","$ 170,000","2015-09-28",170000,1472,1600,0
"3159",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2278,23,NA,"B1","430 EAST134TH STREET                     ","            ",10454,2,0,2,1667,2320,1901,1,"B1","$ 499,000","2015-05-20",499000,2320,1667,0
"3161",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2285,110,NA,"B2","410 E. 141ST                             ","            ",10454,2,0,2,1875,2200,2002,1,"B2","$ 330,000","2015-07-02",330000,2200,1875,0
"3162",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2286,99,NA,"B3","439 EAST 141ST STREET                    ","            ",10454,2,0,2,1875,2160,1910,1,"B3","$ 635,000","2016-02-24",635000,2160,1875,0
"3164",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2286,112,NA,"B1","413 EAST 141ST STREET                    ","            ",10454,2,0,2,1667,1808,2005,1,"B1","$ 260,000","2015-12-16",260000,1808,1667,0
"3165",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2289,159,NA,"B2","471 EAST 144 STREET                      ","            ",10454,2,0,2,2000,2280,1993,1,"B2","$ 490,000","2015-09-24",490000,2280,2000,0
"3167",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2290,133,NA,"B2","466 EAST 146 STREET                      ","            ",10455,2,0,2,2000,2000,1991,1,"B2","$ 435,000","2016-04-07",435000,2000,2000,0
"3168",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2290,138,NA,"B2","476 EAST 146 STREET                      ","            ",10455,2,0,2,2000,2000,1991,1,"B2","$ 327,522","2015-08-07",327522,2000,2000,0
"3171",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2293,51,NA,"S2","444 EAST 149 STREET                      ","            ",10455,2,1,3,2632,2115,1931,1,"S2","$ 500,000","2016-03-22",5e+05,2115,2632,0
"3172",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2551,119,NA,"B2","596 EAST 139 STREET                      ","            ",10454,2,0,2,2000,2280,2000,1,"B2","$ 465,000","2016-03-17",465000,2280,2000,0
"3175",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2572,71,NA,"B2","699 EAST 142 STREET                      ","            ",10454,2,0,2,2003,2280,1999,1,"B2","$ 440,000","2015-10-09",440000,2280,2003,0
"3176",2,"MOTT HAVEN/PORT MORRIS   ","02  TWO FAMILY DWELLINGS                    ","1",2572,162,NA,"B2","702 ST MARYS STREET                      ","            ",10454,2,0,2,2003,2280,1999,1,"B2","$ 480,000","2016-02-18",480000,2280,2003,0
"3177",2,"MOTT HAVEN/PORT MORRIS   ","03  THREE FAMILY DWELLINGS                  ","1",2278,22,NA,"C0","428 EAST 134 ST                          ","            ",10454,3,0,3,1717,2160,1901,1,"C0","$ 870,000","2016-03-29",870000,2160,1717,0
"3178",2,"MOTT HAVEN/PORT MORRIS   ","03  THREE FAMILY DWELLINGS                  ","1",2284,105,NA,"C0","433 EAST 139TH STREET                    ","            ",10454,3,0,3,1667,3334,1910,1,"C0","$ 387,849","2016-01-30",387849,3334,1667,0
"3180",2,"MOTT HAVEN/PORT MORRIS   ","03  THREE FAMILY DWELLINGS                  ","1",2285,19,NA,"C0","440 EAST 141 STREET                      ","            ",10454,3,0,3,2038,2700,1994,1,"C0","$ 220,588","2016-03-09",220588,2700,2038,0
"3181",2,"MOTT HAVEN/PORT MORRIS   ","03  THREE FAMILY DWELLINGS                  ","1",2285,117,NA,"C0","436 EAST 141ST STREET                    ","            ",10454,3,0,3,2038,2700,1994,1,"C0","$ 195,000","2015-07-28",195000,2700,2038,0
"3184",2,"MOTT HAVEN/PORT MORRIS   ","03  THREE FAMILY DWELLINGS                  ","1",2573,33,NA,"C0","331 CONCORD AVENUE                       ","            ",10454,3,0,3,2000,2148,1910,1,"C0","$ 420,000","2015-07-22",420000,2148,2000,0
"3185",2,"MOTT HAVEN/PORT MORRIS   ","03  THREE FAMILY DWELLINGS                  ","1",2576,7,NA,"C0","434 WALES AVENUE                         ","            ",10455,3,0,3,2700,2262,1931,1,"C0","$ 193,000","2015-09-10",193000,2262,2700,0
"3190",2,"MOTT HAVEN/PORT MORRIS   ","03  THREE FAMILY DWELLINGS                  ","1",2600,195,NA,"C0","522 TIMPSON PLACE                        ","            ",10455,3,0,3,2500,2976,1900,1,"C0","$ 167,010","2015-06-03",167010,2976,2500,0
"3281",2,"MOUNT HOPE/MOUNT EDEN    ","01  ONE FAMILY DWELLINGS                    ","1",2790,52,NA,"A5","1695 CLAY AVENUE                         ","            ",10457,1,0,1,1813,1904,1901,1,"A5","$ 390,000","2016-02-08",390000,1904,1813,0
"3282",2,"MOUNT HOPE/MOUNT EDEN    ","01  ONE FAMILY DWELLINGS                    ","1",2798,38,NA,"A1","1777 TOPPING AVENUE                      ","            ",10457,1,0,1,2375,2399,1905,1,"A1","$ 459,800","2015-11-12",459800,2399,2375,0
"3283",2,"MOUNT HOPE/MOUNT EDEN    ","01  ONE FAMILY DWELLINGS                    ","1",2810,10,NA,"A1","1942 GRAND CONCOURSE                     ","            ",10457,1,0,1,3632,2346,1920,1,"A1","$ 1,000,000","2016-01-07",1e+06,2346,3632,0
"3284",2,"MOUNT HOPE/MOUNT EDEN    ","01  ONE FAMILY DWELLINGS                    ","1",2810,24,NA,"A1","240 EAST 178 STREET                      ","            ",10457,1,0,1,5000,3582,1930,1,"A1","$ 1,215,000","2016-02-04",1215000,3582,5000,0
"3286",2,"MOUNT HOPE/MOUNT EDEN    ","01  ONE FAMILY DWELLINGS                    ","1",2891,70,NA,"A1","1829 ANTHONY AVENUE                      ","            ",10457,1,0,1,2790,2548,1899,1,"A1","$ 425,000","2015-12-16",425000,2548,2790,0
"3287",2,"MOUNT HOPE/MOUNT EDEN    ","02  TWO FAMILY DWELLINGS                    ","1",2792,33,NA,"B1","1692 WEEKS AVENUE                        ","            ",10457,2,0,2,2850,3066,1910,1,"B1","$ 504,700","2015-12-02",504700,3066,2850,0
"3292",2,"MOUNT HOPE/MOUNT EDEN    ","02  TWO FAMILY DWELLINGS                    ","1",2800,48,NA,"B2","247 EAST 175TH STREET                    ","            ",10457,2,0,2,1967,2080,1901,1,"B2","$ 561,069","2015-06-05",561069,2080,1967,0
"3294",2,"MOUNT HOPE/MOUNT EDEN    ","02  TWO FAMILY DWELLINGS                    ","1",2807,8,NA,"B9","1982 MORRIS AVENUE                       ","            ",10453,2,0,2,2000,3192,1899,1,"B9","$ 438,000","2016-03-28",438000,3192,2000,0
"3296",2,"MOUNT HOPE/MOUNT EDEN    ","02  TWO FAMILY DWELLINGS                    ","1",2819,25,NA,"B1","1565 SELWYN AVENUE                       ","            ",10457,2,0,2,2970,3166,1920,1,"B1","$ 489,000","2016-04-01",489000,3166,2970,0
"3297",2,"MOUNT HOPE/MOUNT EDEN    ","02  TWO FAMILY DWELLINGS                    ","1",2820,25,NA,"B1","1554 SELWYN AVENUE                       ","            ",10457,2,0,2,2375,2940,1920,1,"B1","$ 510,000","2015-10-09",510000,2940,2375,0
"3299",2,"MOUNT HOPE/MOUNT EDEN    ","02  TWO FAMILY DWELLINGS                    ","1",2820,61,NA,"B1","1505 MORRIS AVENUE                       ","            ",10457,2,0,2,3135,3216,1920,1,"B1","$ 310,000","2015-11-04",310000,3216,3135,0
"3300",2,"MOUNT HOPE/MOUNT EDEN    ","02  TWO FAMILY DWELLINGS                    ","1",2849,39,NA,"B1","1703 TOWNSEND AVENUE                     ","            ",10453,2,0,2,2250,3900,1920,1,"B1","$ 525,000","2015-10-15",525000,3900,2250,0
"3303",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2800,44,NA,"C0","1821 TOPPING AVENUE                      ","            ",10457,3,0,3,1926,3008,1899,1,"C0","$ 577,000","2016-03-15",577000,3008,1926,0
"3304",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2800,63,NA,"C0","234 EAST 176 STREET                      ","            ",10457,3,0,3,1608,2377,1899,1,"C0","$ 390,000","2016-04-12",390000,2377,1608,0
"3305",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2800,63,NA,"C0","234 EAST 176TH STREET                    ","            ",10457,3,0,3,1608,2377,1899,1,"C0","$ 240,000","2016-01-27",240000,2377,1608,0
"3307",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2804,45,NA,"C0","247 MT HOPE PLACE                        ","            ",10457,3,0,3,2000,3528,1899,1,"C0","$ 197,000","2016-02-10",197000,3528,2000,0
"3309",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2819,18,NA,"C0","1541 SELWYN AVENUE                       ","            ",10457,3,0,3,5052,2167,1899,1,"C0","$ 345,000","2015-09-24",345000,2167,5052,0
"3310",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2828,42,NA,"C0","63 E 177TH STREET                        ","            ",10453,3,0,3,2000,3600,1930,1,"C0","$ 185,000","2015-12-21",185000,3600,2000,0
"3311",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2829,15,NA,"C0","1995 MORRIS AVENUE                       ","            ",10453,3,0,3,1600,3132,1899,1,"C0","$ 290,000","2016-02-18",290000,3132,1600,0
"3312",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2829,83,NA,"C0","1973 MORRIS AVENUE                       ","            ",10453,3,0,3,2000,3432,1899,1,"C0","$ 650,000","2015-05-28",650000,3432,2000,0
"3313",2,"MOUNT HOPE/MOUNT EDEN    ","03  THREE FAMILY DWELLINGS                  ","1",2891,10,NA,"C0","1756 CLAY AVENUE                         ","            ",10457,3,0,3,2310,3792,1920,1,"C0","$ 550,000","2015-07-16",550000,3792,2310,0
"3360",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",3900,1,NA,"A1","1400 TAYLOR AVENUE                       ","            ",10460,1,0,1,2500,1519,1910,1,"A1","$ 305,000","2016-01-20",305000,1519,2500,0
"3362",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",3918,51,NA,"A1","1511 ST LAWRENCE AVENUE                  ","            ",10460,1,0,1,2375,1614,1920,1,"A1","$ 225,000","2016-01-06",225000,1614,2375,0
"3363",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",3922,54,NA,"S1","1544 THIERIOT AVENUE                     ","            ",10460,1,1,2,2500,1360,1910,1,"S1","$ 379,000","2015-10-29",379000,1360,2500,0
"3364",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",3931,34,NA,"A1","1978 MC GRAW AVENUE                      ","            ",10462,1,0,1,2190,1665,1920,1,"A1","$ 253,500","2015-08-03",253500,1665,2190,0
"3365",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",3931,47,NA,"S1","1971 BENEDICT AVENUE                     ","            ",10462,1,1,2,2468,2552,1920,1,"S1","$ 600,000","2015-09-02",6e+05,2552,2468,0
"3367",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",3989,25,NA,"A1","2215 ST RAYMONDS AVENUE                  ","            ",10462,1,0,1,2090,1138,1920,1,"A1","$ 342,000","2016-01-13",342000,1138,2090,0
"3368",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",4019,40,NA,"A1","1716 VAN BUREN STREET                    ","            ",10460,1,0,1,2500,1116,1905,1,"A1","$ 240,000","2015-07-09",240000,1116,2500,0
"3369",2,"PARKCHESTER              ","01  ONE FAMILY DWELLINGS                    ","1",4026,39,NA,"A1","619 BAKER AVENUE                         ","            ",10460,1,0,1,2500,1058,1925,1,"A1","$ 281,000","2015-09-23",281000,1058,2500,0
"3370",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3901,3,NA,"B1","1404 THIERIOT AVENUE                     ","            ",10460,2,0,2,2367,2905,1930,1,"B1","$ 530,000","2016-01-20",530000,2905,2367,0
"3371",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3901,3,NA,"B1","1404 THIERIOT AVENUE                     ","            ",10460,2,0,2,2367,2905,1930,1,"B1","$ 370,395","2015-10-23",370395,2905,2367,0
"3372",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3901,39,NA,"B2","1475 LELAND AVENUE                       ","            ",10460,2,0,2,3400,2249,1925,1,"B2","$ 620,000","2015-06-24",620000,2249,3400,0
"3374",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3915,32,NA,"B1","1483 ST LAWRENCE AVENUE                  ","            ",10460,2,0,2,1583,2013,2007,1,"B1","$ 345,010","2015-07-20",345010,2013,1583,0
"3375",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3916,3,NA,"B2","1466 SAINT LAWRENCE                      ","            ",10460,2,0,2,2375,2112,1920,1,"B2","$ 449,000","2015-08-06",449000,2112,2375,0
"3377",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3917,23,NA,"S2","1748 EAST TREMONT AVENUE                 ","            ",10460,2,1,3,2083,4522,2006,1,"S2","$ 670,000","2015-12-08",670000,4522,2083,0
"3378",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3917,46,NA,"B1","1511B COMMONWEALTH AVENUE                ","            ",10460,2,0,2,1370,1612,2006,1,"B1","$ 390,000","2016-02-09",390000,1612,1370,0
"3379",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3931,48,NA,"B1","1969 BENEDICT AVENUE                     ","            ",10462,2,0,2,2468,2112,1920,1,"B1","$ 560,000","2016-04-08",560000,2112,2468,0
"3381",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3934,53,NA,"B2","1357 PURDY STREET                        ","            ",10462,2,0,2,2700,1848,1925,1,"B2","$ 850,000","2016-01-29",850000,1848,2700,0
"3383",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3935,30,NA,"B2","1344 PURDY STREET                        ","            ",10462,2,0,2,3540,2935,1920,1,"B2","$ 397,959","2015-08-26",397959,2935,3540,0
"3384",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3937,53,NA,"B1","1422 WHITE PLAINS ROAD                   ","            ",10462,2,0,2,2226,3150,1910,1,"B1","$ 600,000","2016-04-07",6e+05,3150,2226,0
"3385",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3937,59,NA,"B1","1434 WHITE PLAINS ROAD                   ","            ",10462,2,0,2,2236,2680,1925,1,"B1","$ 318,000","2016-02-26",318000,2680,2236,0
"3386",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",3947,31,NA,"B1","1523 PURDY STREET                        ","            ",10462,2,0,2,2500,2156,1930,1,"B1","$ 450,000","2015-11-25",450000,2156,2500,0
"3387",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4016,2,NA,"B2","502 MORRIS PARK AVENUE                   ","            ",10460,2,0,2,2465,2330,1920,1,"B2","$ 475,000","2016-01-15",475000,2330,2465,0
"3388",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4016,17,NA,"B2","1737 VAN BUREN STREET                    ","            ",10460,2,0,2,2500,2784,1920,1,"B2","$ 420,000","2015-07-28",420000,2784,2500,0
"3389",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4016,32,NA,"B2","513 VAN NEST AVENUE                      ","            ",10460,2,0,2,5941,1401,1915,1,"B2","$ 320,000","2015-06-18",320000,1401,5941,0
"3391",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4016,42,NA,"B2","1718 ADAMS STREET                        ","            ",10460,2,0,2,2375,2640,1920,1,"B2","$ 470,000","2015-08-13",470000,2640,2375,0
"3392",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4018,19,NA,"B2","1611 VAN BUREN STREET                    ","            ",10460,2,0,2,2500,1408,1925,1,"B2","$ 427,450","2015-06-10",427450,1408,2500,0
"3393",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4018,50,NA,"B2","1622 ADAMS STREET                        ","            ",10460,2,0,2,1568,1320,1925,1,"B2","$ 175,000","2015-12-02",175000,1320,1568,0
"3394",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4019,39,NA,"B2","1712 VAN BUREN STREET                    ","            ",10460,2,0,2,2500,3120,1905,1,"B2","$ 330,000","2015-07-02",330000,3120,2500,0
"3395",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4019,47,NA,"B1","1734 VAN BUREN STREET                    ","            ",10460,2,0,2,2500,1344,1910,1,"B1","$ 550,000","2016-04-19",550000,1344,2500,0
"3396",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4020,19,NA,"B2","1729 TAYLOR AVENUE                       ","            ",10460,2,0,2,2375,2228,1910,1,"B2","$ 404,250","2016-04-20",404250,2228,2375,0
"3397",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4021,19,NA,"B2","1729 GARFIELD STREET                     ","            ",10460,2,0,2,2500,2312,1901,1,"B2","$ 515,000","2015-05-21",515000,2312,2500,0
"3403",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4024,16,NA,"B2","1649 GARFIELD STREET                     ","            ",10460,2,0,2,2500,2048,1899,1,"B2","$ 525,000","2015-10-13",525000,2048,2500,0
"3404",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4026,41,NA,"B2","615 BAKER AVENUE                         ","            ",10460,2,0,2,2500,1592,1920,1,"B2","$ 625,000","2016-02-29",625000,1592,2500,0
"3405",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4026,41,NA,"B2","615 BAKER AVENUE                         ","            ",10460,2,0,2,2500,1592,1920,1,"B2","$ 300,000","2015-08-20",3e+05,1592,2500,0
"3406",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4027,22,NA,"B1","1679 UNIONPORT ROAD                      ","            ",10462,2,0,2,2950,2142,1955,1,"B1","$ 415,000","2015-06-02",415000,2142,2950,0
"3407",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4027,28,NA,"B2","643 MEAD STREET                          ","            ",10460,2,0,2,1875,1836,1925,1,"B2","$ 540,500","2016-03-09",540500,1836,1875,0
"3408",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4029,38,NA,"B2","1714 GARFIELD STREET                     ","            ",10460,2,0,2,2500,2440,1920,1,"B2","$ 390,000","2015-08-25",390000,2440,2500,0
"3411",2,"PARKCHESTER              ","02  TWO FAMILY DWELLINGS                    ","1",4031,38,NA,"B2","1730 UNIONPORT ROAD                      ","            ",10462,2,0,2,2432,1946,1905,1,"B2","$ 380,000","2015-10-26",380000,1946,2432,0
"3412",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",3902,60,NA,"C0","1413 WHITE PLAINS ROAD                   ","            ",10462,3,0,3,2250,3100,1925,1,"C0","$ 570,000","2015-06-09",570000,3100,2250,0
"3413",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",3913,51,NA,"C0","1739 MANSION STREET                      ","            ",10460,3,0,3,1408,3348,2007,1,"C0","$ 568,000","2015-12-31",568000,3348,1408,0
"3414",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",3915,5,NA,"C0","1468 COMMONWEALTH AVENUE                 ","            ",10460,3,0,3,4750,3445,1901,1,"C0","$ 153,500","2015-09-29",153500,3445,4750,0
"3415",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",3915,41,NA,"C0","1463 ST. LAWRENCE AVENUE                 ","            ",10460,3,0,3,1575,3164,1920,1,"C0","$ 510,000","2016-04-12",510000,3164,1575,0
"3416",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",3917,43,NA,"C0","1517 COMMONWEALTH AVE                    ","            ",10460,3,0,3,2375,3268,1925,1,"C0","$ 444,000","2016-01-29",444000,3268,2375,0
"3418",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",3919,53,NA,"C0","1527 BEACH AVENUE                        ","            ",10460,3,0,3,2500,3564,1925,1,"C0","$ 394,740","2015-11-16",394740,3564,2500,0
"3421",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",4016,19,NA,"C0","1731 VAN BUREN STREET                    ","            ",10460,3,0,3,2500,3060,1920,1,"C0","$ 408,642","2016-03-25",408642,3060,2500,0
"3423",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",4018,11,NA,"C0","1631 VAN BUREN STREET                    ","            ",10460,3,0,3,2500,2360,1925,1,"C0","$ 225,000","2016-01-06",225000,2360,2500,0
"3424",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",4021,37,NA,"C0","1710 TAYLOR AVE                          ","            ",10460,3,0,3,2850,2144,1901,1,"C0","$ 541,000","2015-12-30",541000,2144,2850,0
"3426",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",4023,49,NA,"C0","1622 MELVILLE STREET                     ","            ",10460,3,0,3,1950,2424,1899,1,"C0","$ 625,000","2016-03-30",625000,2424,1950,0
"3427",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",4023,50,NA,"C0","1624 MELVILLE STREET                     ","            ",10460,3,0,3,2577,2694,2008,1,"C0","$ 510,000","2016-02-17",510000,2694,2577,0
"3430",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",4025,1,NA,"C0","1600 GARFIELD STREET                     ","            ",10460,3,0,3,1650,3888,1899,1,"C0","$ 750,000","2016-02-24",750000,3888,1650,0
"3431",2,"PARKCHESTER              ","03  THREE FAMILY DWELLINGS                  ","1",4026,26,NA,"C0","1653 UNIONPORT ROAD                      ","            ",10462,3,0,3,2455,1786,1920,1,"C0","$ 240,000","2016-03-24",240000,1786,2455,0
"3763",2,"PELHAM GARDENS           ","01  ONE FAMILY DWELLINGS                    ","1",4391,13,NA,"A1","2222 WOODHULL AVENUE                     ","            ",10469,1,0,1,2500,1957,1955,1,"A1","$ 509,000","2015-05-26",509000,1957,2500,0
"3765",2,"PELHAM GARDENS           ","01  ONE FAMILY DWELLINGS                    ","1",4394,32,NA,"A5","2331 MICKLE AVENUE                       ","            ",10469,1,0,1,2500,1863,1945,1,"A5","$ 410,000","2016-04-07",410000,1863,2500,0
"3766",2,"PELHAM GARDENS           ","01  ONE FAMILY DWELLINGS                    ","1",4395,36,NA,"A1","2219 WESTERVELT AVENUE                   ","            ",10469,1,0,1,2500,1513,1930,1,"A1","$ 529,000","2015-06-18",529000,1513,2500,0
"3767",2,"PELHAM GARDENS           ","01  ONE FAMILY DWELLINGS                    ","1",4398,11,NA,"A5","2324 MICKLE AVENUE                       ","            ",10469,1,0,1,2500,1672,1955,1,"A5","$ 495,000","2016-03-21",495000,1672,2500,0
"3771",2,"PELHAM GARDENS           ","01  ONE FAMILY DWELLINGS                    ","1",4405,56,NA,"A1","2311 GUNTHER AVENUE                      ","            ",10469,1,0,1,5408,2931,1955,1,"A1","$ 688,000","2015-07-07",688000,2931,5408,0
"3772",2,"PELHAM GARDENS           ","01  ONE FAMILY DWELLINGS                    ","1",4409,13,NA,"A5","2318 WICKHAM AVENUE                      ","            ",10469,1,0,1,2500,1224,1965,1,"A5","$ 492,500","2015-05-20",492500,1224,2500,0
