"borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"118",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4734,66,NA,"A5","3344 BOUCK AVENUE                        ","            ",10469,1,0,1,1900,1681,1940,1,"A5","$ 379,000","2015-06-30",379000,1681,1900,0
"120",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4735,83,NA,"S1","3304 WILSON AVENUE                       ","            ",10469,1,1,2,2208,2430,1930,1,"S1","$ 320,000","2015-10-20",320000,2430,2208,0
"121",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4736,42,NA,"A5","3310 FISH AVENUE                         ","            ",10469,1,0,1,1800,1690,1935,1,"A5","$ 343,000","2016-02-08",343000,1690,1800,0
"122",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4740,51,NA,"A5","3244 FISH AVENUE                         ","            ",10469,1,0,1,2500,1736,1935,1,"A5","$ 467,500","2015-08-13",467500,1736,2500,0
"126",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4743,129,NA,"A5","3307 EASTCHESTER ROAD                    ","            ",10469,1,0,1,1800,1633,1950,1,"A5","$ 298,700","2015-10-26",298700,1633,1800,0
"127",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4745,35,NA,"A1","1603 GIVAN AVENUE                        ","            ",10469,1,0,1,2774,1378,1920,1,"A1","$ 110,000","2015-07-23",110000,1378,2774,0
"128",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4749,60,NA,"A5","3340 KINGSLAND AVENUE                    ","            ",10469,1,0,1,2375,1960,1955,1,"A5","$ 345,000","2015-11-06",345000,1960,2375,0
"129",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4750,24,NA,"A5","3327 GUNTHER AVENUE                      ","            ",10469,1,0,1,1710,1539,1950,1,"A5","$ 340,000","2016-02-22",340000,1539,1710,0
"130",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4750,36,NA,"A5","3303 GUNTHER AVENUE                      ","            ",10469,1,0,1,1710,1890,1950,1,"A5","$ 266,600","2016-02-02",266600,1890,1710,0
"131",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4751,1,NA,"A9","3354 GUNTHER AVENUE                      ","            ",10469,1,0,1,2997,948,1960,1,"A9","$ 335,000","2015-08-14",335000,948,2997,0
"133",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4766,33,NA,"A1","1511 ADEE AVENUE                         ","            ",10469,1,0,1,2502,1224,1935,1,"A1","$ 400,000","2015-10-15",4e+05,1224,2502,0
"135",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4781,32,NA,"A5","3021 EDSON AVENUE                        ","            ",10469,1,0,1,1692,1674,1955,1,"A5","$ 230,000","2015-06-08",230000,1674,1692,0
"136",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4781,37,NA,"A5","3011 EDSON AVENUE                        ","            ",10469,1,0,1,1692,1674,1955,1,"A5","$ 335,000","2016-02-05",335000,1674,1692,0
"139",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4792,12,NA,"A1","2837 GUNTHER AVE                         ","            ",10469,1,0,1,4750,1063,1910,1,"A1","$ 645,000","2015-11-24",645000,1063,4750,0
"140",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4792,22,NA,"A1","2823 GUNTHER AVENUE                      ","            ",10469,1,0,1,4750,2178,1910,1,"A1","$ 460,000","2015-10-23",460000,2178,4750,0
"141",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4792,38,NA,"A1","2814 TIEMANN AVENUE                      ","            ",10469,1,0,1,3555,1232,1925,1,"A1","$ 300,000","2015-09-30",3e+05,1232,3555,0
"142",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4792,40,NA,"A1","2816 TIEMANN AVENUE                      ","            ",10469,1,0,1,3555,1255,1925,1,"A1","$ 300,000","2015-10-08",3e+05,1255,3555,0
"143",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4796,27,NA,"A5","2903 GRACE AVENUE                        ","            ",10469,1,0,1,1320,1140,2005,1,"A5","$ 369,000","2015-12-18",369000,1140,1320,0
"144",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4803,46,NA,"A5","2730 GUNTHER AVENUE                      ","            ",10469,1,0,1,2470,1088,1955,1,"A5","$ 152,000","2015-11-23",152000,1088,2470,0
"147",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4893,120,NA,"A5","3538 GRACE AVENUE                        ","            ",10466,1,0,1,1706,1732,1960,1,"A5","$ 300,000","2015-05-28",3e+05,1732,1706,0
"148",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4897,64,NA,"A2","1236 EAST 223 STREET                     ","            ",10466,1,0,1,2500,828,1910,1,"A2","$ 176,500","2015-09-18",176500,828,2500,0
"149",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4898,18,NA,"A5","1255 EAST 223 STREET                     ","            ",10466,1,0,1,1600,960,1955,1,"A5","$ 170,000","2016-02-17",170000,960,1600,0
"150",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4898,28,NA,"A5","1235 EAST 223 STREET                     ","            ",10466,1,0,1,1600,960,1955,1,"A5","$ 159,750","2015-07-07",159750,960,1600,0
"151",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4902,31,NA,"A2","1141 E 223RD STREET                      ","            ",10466,1,0,1,8275,937,1910,1,"A2","$ 220,000","2015-12-21",220000,937,8275,0
"152",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4902,31,NA,"A2","1141 EAST 223 STREET                     ","            ",10466,1,0,1,8275,937,1910,1,"A2","$ 425,880","2015-08-06",425880,937,8275,0
"153",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4902,120,NA,"A5","1153A E. 223RD STREET                    ","            ",10466,1,0,1,1850,1534,1945,1,"A5","$ 392,000","2016-01-27",392000,1534,1850,0
"154",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4903,72,NA,"A5","1152 EAST 225TH STREET                   ","            ",10466,1,0,1,1152,1384,1970,1,"A5","$ 280,000","2016-04-14",280000,1384,1152,0
"156",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4934,19,NA,"A5","1159 GRENADA PLACE                       ","            ",10466,1,0,1,1980,1582,1940,1,"A5","$ 389,000","2015-11-30",389000,1582,1980,0
"158",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4943,53,NA,"A1","3697 SECOR AVENUE                        ","            ",10466,1,0,1,2856,1248,1925,1,"A1","$ 420,000","2016-03-10",420000,1248,2856,0
"159",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4943,55,NA,"A1","3693 SECOR AVENUE                        ","            ",10466,1,0,1,2856,1248,1925,1,"A1","$ 369,500","2015-10-20",369500,1248,2856,0
"160",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4945,99,NA,"A1","2111 GARRETT PLACE                       ","            ",10466,1,0,1,3375,1200,1930,1,"A1","$ 420,000","2015-05-22",420000,1200,3375,0
"161",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4945,104,NA,"A1","3819 HARPER AVE                          ","            ",10466,1,0,1,3700,1200,1930,1,"A1","$ 360,000","2015-12-04",360000,1200,3700,0
"162",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4946,10,NA,"A1","3710 HARPER AVENUE                       ","            ",10466,1,0,1,2375,1248,1930,1,"A1","$ 360,000","2015-08-12",360000,1248,2375,0
"164",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4946,20,NA,"A1","3715 SECOR AVENUE                        ","            ",10466,1,0,1,2850,1120,1930,1,"A1","$ 330,000","2015-08-19",330000,1120,2850,0
"166",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4951,14,NA,"A1","3811 MERRITT AVENUE                      ","            ",10466,1,0,1,2500,896,1930,1,"A1","$ 372,587","2015-08-03",372587,896,2500,0
"167",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4957,35,NA,"A2","2058 STRANG AVENUE                       ","            ",10466,1,0,1,5000,984,1920,1,"A2","$ 383,000","2016-03-22",383000,984,5000,0
"168",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4957,48,NA,"A0","3935 MURDOCK AVENUE                      ","            ",10466,1,0,1,5000,1289,1949,1,"A0","$ 335,000","2015-12-07",335000,1289,5000,0
"169",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4958,41,NA,"A5","2090 STRANG AVENUE                       ","            ",10466,1,0,1,2100,1296,1955,1,"A5","$ 396,550","2015-07-08",396550,1296,2100,0
"170",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4960,70,NA,"A5","3931 SETON AVENUE                        ","            ",10466,1,0,1,2500,1782,1957,1,"A5","$ 275,000","2015-10-27",275000,1782,2500,0
"172",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4962,4,NA,"A2","3918 AMUNDSON AVENUE                     ","            ",10466,1,0,1,3750,1118,1925,1,"A2","$ 300,000","2015-09-18",3e+05,1118,3750,0
"173",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4962,28,NA,"A1","3964 AMUNDSON AVENUE                     ","            ",10466,1,0,1,2500,1386,1925,1,"A1","$ 240,000","2015-10-16",240000,1386,2500,0
"174",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4962,67,NA,"A2","3927 DURYEA AVENUE                       ","            ",10466,1,0,1,3333,1512,1939,1,"A2","$ 325,600","2016-01-08",325600,1512,3333,0
"175",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4963,78,NA,"S1","4001 PRATT AVENUE                        ","            ",10466,1,1,2,3748,2204,1925,1,"S1","$ 424,000","2015-09-30",424000,2204,3748,0
"176",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4964,29,NA,"A2","3934 PRATT AVE                           ","            ",10466,1,0,1,5344,1300,1925,1,"A2","$ 450,000","2015-10-05",450000,1300,5344,0
"177",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4964,145,NA,"A1","3941 HARPER AVENUE                       ","            ",10466,1,0,1,3900,2284,1959,1,"A1","$ 110,000","2016-01-04",110000,2284,3900,0
"178",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4969,39,NA,"A1","4042 SECOR AVENUE                        ","            ",10466,1,0,1,2250,1376,1920,1,"A1","$ 470,000","2016-04-13",470000,1376,2250,0
"179",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4969,39,NA,"A1","4042 SECOR AVENUE                        ","            ",10466,1,0,1,2250,1376,1920,1,"A1","$ 469,000","2015-06-24",469000,1376,2250,0
"180",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4970,5,NA,"A1","4035 ROMBOUTS AVENUE                     ","            ",10466,1,0,1,3220,1312,1925,1,"A1","$ 375,000","2015-12-21",375000,1312,3220,0
