"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"18368",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11365,34,NA,"A5","133-31 85TH STREET"," ",11417,"1","0","1","1967","1330",1935,1,"A5"," $430,000 ","12/28/2016",430000,1330,1967,0
"18369",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11369,132,NA,"A1","134-28 SITKA STREET"," ",11417,"1","0","1","944","1320",1940,1,"A1"," $358,000 ","1/5/2017",358000,1320,944,0
"18370",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11370,4,NA,"A9","89-28 133RD   AVENUE"," ",11417,"1","0","1","1472","1680",1960,1,"A9"," $480,000 ","8/30/2016",480000,1680,1472,0
"18371",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11372,24,NA,"A1","90-46 DESARC ROAD"," ",11417,"1","0","1","2100","1218",1920,1,"A1"," $495,000 ","7/12/2016",495000,1218,2100,0
"18372",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11401,54,NA,"A1","89-30 LINDEN BLVD."," ",11417,"1","0","1","2133","704",1965,1,"A1"," $405,000 ","5/19/2016",405000,704,2133,0
"18374",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11473,30,NA,"A5","106-18 109TH   AVENUE"," ",11417,"1","0","1","1520","1128",1920,1,"A5"," $442,020 ","7/14/2016",442020,1128,1520,0
"18376",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11476,28,NA,"A1","109-17 109TH   STREET"," ",11420,"1","0","1","2482","1376",1925,1,"A1"," $460,000 ","11/15/2016",460000,1376,2482,0
"18377",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11476,51,NA,"A1","109-30 110TH   STREET"," ",11420,"1","0","1","2890","1188",1925,1,"A1"," $475,000 ","6/17/2016",475000,1188,2890,0
"18378",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11479,45,NA,"A1","109-32 CENTREVILLE STREET"," ",11417,"1","0","1","2056","1280",1925,1,"A1"," $485,000 ","1/19/2017",485000,1280,2056,0
"18379",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11480,78,NA,"A1","104-21 ROSITA ROAD"," ",11417,"1","0","1","1557","1200",1925,1,"A1"," $440,000 ","8/29/2016",440000,1200,1557,0
"18380",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11480,81,NA,"A1","104-15 ROSITA ROAD"," ",11417,"1","0","1","1605","1200",1925,1,"A1"," $399,000 ","6/16/2016",399000,1200,1605,0
"18381",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11481,39,NA,"S1","106-14 ROCKAWAY BOULEVARD"," ",11417,"1","1","2","1903","2400",1920,1,"S1"," $450,000 ","8/31/2016",450000,2400,1903,0
"18382",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11487,18,NA,"A1","94-38 SUTTER AVENUE"," ",11417,"1","0","1","3000","1365",1925,1,"A1"," $435,000 ","8/29/2016",435000,1365,3000,0
"18383",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11487,20,NA,"A1","94-42 SUTTER AVENUE"," ",11417,"1","0","1","3000","1848",1925,1,"A1"," $400,000 ","12/30/2016",4e+05,1848,3000,0
"18384",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11488,43,NA,"A1","94-37 133RD   AVENUE"," ",11417,"1","0","1","2574","1136",1925,1,"A1"," $367,300 ","10/21/2016",367300,1136,2574,0
"18385",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11488,43,NA,"A1","94-37 133RD   AVENUE"," ",11417,"1","0","1","2574","1136",1925,1,"A1"," $598,639 ","6/10/2016",598639,1136,2574,0
"18386",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11492,42,NA,"A1","133-01 96TH   STREET"," ",11417,"1","0","1","2000","1088",1925,1,"A1"," $455,000 ","2/23/2016",455000,1088,2000,0
"18387",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11493,47,NA,"A1","134-12 94TH PLACE"," ",11417,"1","0","1","2132","1282",1925,1,"A1"," $470,000 ","3/3/2016",470000,1282,2132,0
"18388",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11495,42,NA,"A1","94-60 134TH AVENUE"," ",11417,"1","0","1","2600","1264",1925,1,"A1"," $376,500 ","7/20/2016",376500,1264,2600,0
"18389",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11499,113,NA,"A1","97-28 134TH AVENUE"," ",11417,"1","0","1","2800","1176",1930,1,"A1"," $448,000 ","11/14/2016",448000,1176,2800,0
"18390",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11500,121,NA,"A1","97-27 LINDEN BOULEVARD"," ",11417,"1","0","1","3080","1164",1925,1,"A1"," $470,000 ","11/12/2016",470000,1164,3080,0
"18394",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11505,42,NA,"A2","105-16 SUTTER AVENUE"," ",11417,"1","0","1","2700","990",1940,1,"A2"," $310,000 ","12/8/2016",310000,990,2700,0
"18395",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11512,17,NA,"A1","135-38 94TH   STREET"," ",11417,"1","0","1","2250","1248",1935,1,"A1"," $377,000 ","12/19/2016",377000,1248,2250,0
"18396",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11513,30,NA,"A1","94-13 PITKIN AVENUE"," ",11417,"1","0","1","2342","1422",1925,1,"A1"," $490,000 ","8/31/2016",490000,1422,2342,0
"18397",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11513,42,NA,"A1","135-29 94TH   STREET"," ",11417,"1","0","1","2325","1216",1925,1,"A1"," $525,000 ","8/25/2016",525000,1216,2325,0
"18398",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11513,47,NA,"A1","135-21 94TH   STREET"," ",11417,"1","0","1","2000","1422",1925,1,"A1"," $505,000 ","4/19/2016",505000,1422,2000,0
"18399",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11516,202,NA,"S1","96-32 LINDEN BOULEVARD"," ",11417,"1","1","2","1680","970",1925,1,"S1"," $325,000 ","1/19/2017",325000,970,1680,0
"18403",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11531,51,NA,"A1","137-11 95TH   STREET"," ",11417,"1","0","1","1670","1140",1925,1,"A1"," $570,000 ","12/28/2016",570000,1140,1670,0
"18404",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11532,31,NA,"A5","96-01 149TH AVENUE"," ",11417,"1","0","1","2042","1400",1940,1,"A5"," $425,215 ","1/23/2017",425215,1400,2042,0
"18405",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11532,46,NA,"A1","137-29 96TH STREET"," ",11417,"1","0","1","2500","1592",1925,1,"A1"," $510,000 ","8/12/2016",510000,1592,2500,0
"18406",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11533,38,NA,"A1","137-31 96TH PLACE"," ",11417,"1","0","1","2500","1608",1925,1,"A1"," $495,000 ","5/2/2016",495000,1608,2500,0
"18407",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11545,35,NA,"A1","94-30 ALBERT ROAD"," ",11417,"1","0","1","5000","1248",1840,1,"A1"," $520,000 ","8/2/2016",520000,1248,5000,0
"18408",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11552,45,NA,"A1","97-22 BRISTOL AVENUE"," ",11417,"1","0","1","4400","1074",1901,1,"A1"," $230,000 ","8/24/2016",230000,1074,4400,0
"18409",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11552,45,NA,"A1","97-22 BRISTOL AVENUE"," ",11417,"1","0","1","4400","1074",1901,1,"A1"," $240,000 ","11/23/2016",240000,1074,4400,0
"18410",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11552,81,NA,"A1","97-43 ECKFORD AVENUE"," ",11417,"1","0","1","2400","1200",1930,1,"A1"," $450,000 ","3/15/2016",450000,1200,2400,0
"18411",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11554,30,NA,"A1","149-40 RALEIGH STREET"," ",11417,"1","0","1","2500","1092",1920,1,"A1"," $495,000 ","4/22/2016",495000,1092,2500,0
"18413",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11561,20,NA,"A5","150-25 99TH PLACE"," ",11417,"1","0","1","2000","1280",1945,1,"A5"," $330,000 ","8/11/2016",330000,1280,2000,0
"18414",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11705,49,NA,"A1","114-50 114TH STREET"," ",11420,"1","0","1","2500","1264",1925,1,"A1"," $385,000 ","10/13/2016",385000,1264,2500,0
"18415",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11705,52,NA,"A1","114-56 114TH   STREET"," ",11420,"1","0","1","2242","1264",1925,1,"A1"," $523,000 ","11/8/2016",523000,1264,2242,0
"18416",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11719,57,NA,"A1","132-46 114TH STREET"," ",11420,"1","0","1","2344","1248",1925,1,"A1"," $430,000 ","4/19/2016",430000,1248,2344,0
"18417",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11719,138,NA,"A1","13204 114TH ST"," ",11420,"1","0","1","2160","1392",1925,1,"A1"," $540,000 ","2/16/2016",540000,1392,2160,0
"18418",4,"OZONE PARK","01 ONE FAMILY DWELLINGS                    ","1",11733,39,NA,"A1","133-02 114TH   STREET"," ",11420,"1","0","1","1710","1264",1920,1,"A1"," $430,000 ","6/15/2016",430000,1264,1710,0
"18419",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",8995,17,NA,"B3","94-28 FORBELL STREET"," ",11416,"2","0","2","2070","1196",1920,1,"B3"," $329,550 ","12/16/2016",329550,1196,2070,0
"18420",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",8996,22,NA,"B2","94-04 75TH   STREET"," ",11416,"2","0","2","2879","2292",1920,1,"B2"," $645,000 ","5/19/2016",645000,2292,2879,0
"18421",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",8997,41,NA,"B3","94-13 75TH   STREET"," ",11416,"2","0","2","1700","1054",1920,1,"B3"," $350,000 ","1/13/2017",350000,1054,1700,0
"18422",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",8999,30,NA,"B3","95-30 75TH   STREET"," ",11416,"2","0","2","1926","1824",1920,1,"B3"," $620,000 ","9/6/2016",620000,1824,1926,0
"18423",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",8999,43,NA,"B3","74-05 97TH AVENUE"," ",11416,"2","0","2","1154","1212",1920,1,"B3"," $525,000 ","12/20/2016",525000,1212,1154,0
"18424",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9000,11,NA,"B3","75-22 95TH   AVENUE"," ",11416,"2","0","2","1600","1272",1920,1,"B3"," $170,000 ","11/23/2016",170000,1272,1600,0
"18425",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9000,16,NA,"B3","95-20 76TH STREET"," ",11416,"2","0","2","1700","1088",1920,1,"B3"," $220,000 ","5/13/2016",220000,1088,1700,0
"18426",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9000,26,NA,"B1","75-13 97TH   AVENUE"," ",11416,"2","0","2","2000","2772",1930,1,"B1"," $430,000 ","8/8/2016",430000,2772,2000,0
"18427",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9001,17,NA,"B2","94-24 77TH STREET"," ",11416,"2","0","2","2000","1238",1920,1,"B2"," $485,000 ","6/6/2016",485000,1238,2000,0
"18430",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9002,35,NA,"B3","94-27 77TH   STREET"," ",11416,"2","0","2","1900","1312",1925,1,"B3"," $319,410 ","5/24/2016",319410,1312,1900,0
"18431",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9002,41,NA,"B3","9417 77 STREET"," ",11416,"2","0","2","1906","1312",1925,1,"B3"," $420,000 ","2/1/2016",420000,1312,1906,0
"18433",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9006,28,NA,"B2","80-01 95 AVENUE"," ",11416,"2","0","2","1900","1854",1925,1,"B2"," $677,000 ","6/29/2016",677000,1854,1900,0
"18434",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9007,32,NA,"B1","78-03 97 AVENUE"," ",11416,"2","0","2","2000","2304",1910,1,"B1"," $660,000 ","7/28/2016",660000,2304,2000,0
"18435",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9008,30,NA,"B1","80-11 97TH   AVENUE"," ",11416,"2","0","2","1793","1206",1910,1,"B1"," $598,900 ","10/28/2016",598900,1206,1793,0
"18436",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9012,30,NA,"B1","95-37 81ST STREET"," ",11416,"2","0","2","2500","1728",1925,1,"B1"," $650,000 ","3/8/2016",650000,1728,2500,0
"18437",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9014,38,NA,"B1","94-17 83RD STREET"," ",11416,"2","0","2","1900","3334",1970,1,"B1"," $650,000 ","10/12/2016",650000,3334,1900,0
"18439",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9021,16,NA,"B2","95-24 86 STREET"," ",11416,"2","0","2","2500","2329",2005,1,"B2"," $660,000 ","5/13/2016",660000,2329,2500,0
"18440",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9021,17,NA,"B2","95-26 86TH STREET"," ",11416,"2","0","2","5000","1260",1915,1,"B2"," $400,000 ","2/8/2016",4e+05,1260,5000,0
"18441",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9021,20,NA,"B3","85-19 97TH AVENUE"," ",11416,"2","0","2","1800","2080",1910,1,"B3"," $410,000 ","12/6/2016",410000,2080,1800,0
"18442",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9021,23,NA,"A9","85-13 97TH   AVENUE"," ",11416,"1","0","1","1800","1168",1910,1,"B2"," $660,000 ","1/12/2017",660000,1168,1800,0
"18443",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9022,32,NA,"B2","95-27 86 STREET"," ",11416,"2","0","2","3842","1980",1915,1,"B2"," $575,000 ","1/4/2017",575000,1980,3842,0
"18444",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9022,36,NA,"B1","95-21 86TH   STREET"," ",11416,"2","0","2","2500","2168",1915,1,"B1"," $688,000 ","8/26/2016",688000,2168,2500,0
"18446",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9023,18,NA,"B2","87-17 95TH AVENUE"," ",11416,"2","0","2","1974","3176",1910,1,"B2"," $608,600 ","4/8/2016",608600,3176,1974,0
"18447",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9023,27,NA,"B3","94-27 87TH   STREET"," ",11416,"2","0","2","2500","2034",1925,1,"B3"," $804,417 ","8/24/2016",804417,2034,2500,0
"18448",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9025,28,NA,"B2","87-01 97 AVENUE"," ",11416,"2","0","2","5000","1980",1910,1,"B2"," $580,000 ","7/6/2016",580000,1980,5000,0
"18449",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9026,9,NA,"B9","95-08 89 STREET"," ",11416,"2","0","2","1212","1376",1905,1,"B9"," $440,000 ","3/28/2016",440000,1376,1212,0
"18450",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9026,25,NA,"B1","88-11 97TH   AVENUE"," ",11416,"2","0","2","3600","2912",1970,1,"B1"," $960,000 ","1/12/2017",960000,2912,3600,0
"18451",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9029,28,NA,"B2","95-33 89TH   STREET"," ",11416,"2","0","2","1875","1884",1920,1,"B2"," $230,000 ","3/7/2016",230000,1884,1875,0
"18452",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9029,37,NA,"B9","95-11 89 STREET"," ",11416,"2","0","2","2500","1440",1920,1,"B9"," $555,000 ","4/28/2016",555000,1440,2500,0
"18453",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9031,4,NA,"B2","95-05 91ST STREET"," ",11416,"2","0","2","2200","1615",1920,1,"B2"," $574,000 ","2/25/2016",574000,1615,2200,0
"18454",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9031,8,NA,"B1","91-16 95TH   AVENUE"," ",11416,"2","0","2","2400","2680",1960,1,"B1"," $510,000 ","2/25/2016",510000,2680,2400,0
"18455",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9032,22,NA,"B9","9207 97TH AVENUE"," ",11416,"2","0","2","5000","2044",1920,1,"B9"," $720,000 ","5/24/2016",720000,2044,5000,0
"18456",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9032,31,NA,"B9","95-15 92ND   STREET"," ",11416,"2","0","2","2500","1492",1920,1,"B9"," $745,000 ","8/26/2016",745000,1492,2500,0
"18458",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9036,39,NA,"B2","95-13 93 STREET"," ",11416,"2","0","2","2500","2200",1910,1,"B2"," $670,000 ","10/6/2016",670000,2200,2500,0
"18459",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9036,39,NA,"B2","95-13 93RD STREET"," ",11416,"2","0","2","2500","2200",1910,1,"B2"," $338,500 ","4/29/2016",338500,2200,2500,0
"18460",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9040,76,NA,"B1","95-39 WOODHAVEN BOULEVARD"," ",11416,"2","0","2","1219","1536",1960,1,"B1"," $506,500 ","12/15/2016",506500,1536,1219,0
"18461",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9041,32,NA,"B3","95-20 97TH   STREET"," ",11416,"2","0","2","2500","1185",1925,1,"B3"," $333,000 ","10/28/2016",333000,1185,2500,0
"18462",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9041,102,NA,"B1","95-24 WOODHAVEN COURT"," ",11416,"2","0","2","2982","1200",1940,1,"B1"," $525,000 ","3/1/2016",525000,1200,2982,0
"18464",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9044,31,NA,"B1","95-27 97TH STREET"," ",11416,"2","0","2","2000","1426",1940,1,"B1"," $489,000 ","3/31/2016",489000,1426,2000,0
"18465",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9046,39,NA,"B1","97-49 DREW STREET"," ",11416,"2","0","2","1950","2056",1940,1,"B1"," $349,830 ","7/25/2016",349830,2056,1950,0
"18468",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9046,50,NA,"B2","9725 DREW"," ",11416,"2","0","2","2829","2082",1940,1,"B2"," $649,000 ","4/29/2016",649000,2082,2829,0
"18471",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9048,14,NA,"B2","97-20 77 STREET"," ",11416,"2","0","2","2325","2128",1925,1,"B2"," $585,000 ","1/10/2017",585000,2128,2325,0
"18472",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9048,15,NA,"B2","97-22 77 STREET"," ",11416,"2","0","2","2325","2128",1920,1,"B2"," $600,000 ","11/21/2016",6e+05,2128,2325,0
"18473",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9048,18,NA,"B2","97-30 77TH STREET"," ",11416,"2","0","2","2725","2128",1925,1,"B2"," $545,000 ","5/11/2016",545000,2128,2725,0
"18474",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9048,28,NA,"B2","97-42 77TH   STREET"," ",11416,"2","0","2","2000","2675",1925,1,"B2"," $275,500 ","12/15/2016",275500,2675,2000,0
"18476",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9049,23,NA,"B2","97-36 78TH STREET"," ",11416,"2","0","2","1900","2106",1920,1,"B2"," $415,000 ","11/9/2016",415000,2106,1900,0
"18478",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9051,15,NA,"B3","97-12 81ST   STREET"," ",11416,"2","0","2","2000","1790",1925,1,"B3"," $550,000 ","12/2/2016",550000,1790,2000,0
"18479",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9051,18,NA,"B3","97-18 81ST STREET"," ",11416,"2","0","2","2000","1556",1925,1,"B3"," $205,000 ","3/7/2016",205000,1556,2000,0
"18482",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9052,6,NA,"B2","81-12 97TH   AVENUE"," ",11416,"2","0","2","2242","1996",1920,1,"B2"," $625,000 ","11/21/2016",625000,1996,2242,0
"18483",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9052,20,NA,"B3","97-28 82ND   STREET"," ",11416,"2","0","2","1942","1608",1920,1,"B3"," $480,000 ","7/5/2016",480000,1608,1942,0
"18485",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9053,9,NA,"B3","82-14 97 AVENUE"," ",11416,"2","0","2","3500","1672",1901,1,"B3"," $710,000 ","12/22/2016",710000,1672,3500,0
"18488",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9054,98,NA,"S2","83-03 101ST   AVENUE"," ",11416,"2","1","3","2000","2600",1910,1,"S2"," $485,000 ","7/25/2016",485000,2600,2000,0
"18489",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9055,18,NA,"B3","97-14 85TH   STREET"," ",11416,"2","0","2","2160","1880",1910,1,"B3"," $150,000 ","2/29/2016",150000,1880,2160,0
"18490",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9055,18,NA,"B3","97-14 85TH   STREET"," ",11416,"2","0","2","2160","1880",1910,1,"B3"," $150,000 ","2/29/2016",150000,1880,2160,0
"18491",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9055,18,NA,"B3","97-14 85TH   STREET"," ",11416,"2","0","2","2160","1880",1910,1,"B3"," $150,000 ","2/29/2016",150000,1880,2160,0
"18493",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9058,12,NA,"B3","97-16 87TH   STREET"," ",11416,"2","0","2","3400","2080",1920,1,"B3"," $465,000 ","4/5/2016",465000,2080,3400,0
"18494",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9060,5,NA,"B2","87-10 97 AVENUE"," ",11416,"2","0","2","2200","1764",1930,1,"B2"," $522,000 ","12/29/2016",522000,1764,2200,0
"18496",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9062,11,NA,"B2","97-18 89TH   STREET"," ",11416,"2","0","2","2600","1648",1910,1,"B2"," $410,000 ","12/1/2016",410000,1648,2600,0
"18497",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9062,50,NA,"B2","97-15 88TH STREET"," ",11416,"2","0","2","2300","1548",1920,1,"B2"," $640,000 ","10/21/2016",640000,1548,2300,0
"18498",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9063,10,NA,"B1","97-14 90TH STREET"," ",11416,"2","0","2","2500","2310",1920,1,"B1"," $670,000 ","7/7/2016",670000,2310,2500,0
"18500",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9066,10,NA,"S2","92-20 97TH   AVENUE"," ",11416,"2","1","3","2202","2924",1925,1,"S2"," $690,000 ","11/17/2016",690000,2924,2202,0
"18501",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9072,10,NA,"B9","9712 98TH STREET"," ",11416,"2","0","2","2900","1890",1920,1,"B9"," $660,000 ","6/20/2016",660000,1890,2900,0
"18502",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9079,7,NA,"B2","101-14 80 ST"," ",11416,"2","0","2","2335","2070",1920,1,"B2"," $600,000 ","10/13/2016",6e+05,2070,2335,0
"18504",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9081,55,NA,"B9","81-51 102ND AVENUE"," ",11416,"2","0","2","2402","1152",1910,1,"B9"," $399,000 ","11/29/2016",399000,1152,2402,0
"18505",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9081,58,NA,"B9","81-45 102ND   AVENUE"," ",11416,"2","0","2","2502","1080",1910,1,"B9"," $520,000 ","8/23/2016",520000,1080,2502,0
"18508",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9085,11,NA,"B2","84-26 102 AVENUE"," ",11416,"2","0","2","2202","1080",1920,1,"B2"," $560,000 ","9/30/2016",560000,1080,2202,0
"18509",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9086,9,NA,"B1","84-20 102ND ROAD"," ",11416,"2","0","2","2252","1960",1920,1,"B1"," $530,000 ","1/10/2017",530000,1960,2252,0
"18512",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9096,3,NA,"B1","90-06 101ST   AVENUE"," ",11416,"2","0","2","1320","1344",1955,1,"B1"," $545,000 ","4/26/2016",545000,1344,1320,0
"18513",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9100,7,NA,"S2","93-14 101ST   AVENUE"," ",11416,"2","1","3","2000","2400",1925,1,"S2"," $680,000 ","6/24/2016",680000,2400,2000,0
"18516",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9101,47,NA,"B2","101-55 94TH   STREET"," ",11416,"2","0","2","2402","2240",1935,1,"B2"," $690,000 ","7/21/2016",690000,2240,2402,0
"18517",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9103,14,NA,"B1","101-22 97TH   STREET"," ",11416,"2","0","2","2500","2076",2014,1,"B1"," $750,000 ","2/26/2016",750000,2076,2500,0
"18518",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9103,15,NA,"B1","101-24 97TH   STREET"," ",11416,"2","0","2","2500","2076",2014,1,"B1"," $809,508 ","4/18/2016",809508,2076,2500,0
"18520",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9111,30,NA,"B1","103-37 91ST   STREET"," ",11417,"2","0","2","1296","1080",1950,1,"B1"," $455,000 ","12/7/2016",455000,1080,1296,0
"18526",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9124,92,NA,"B3","105-16 77TH   STREET"," ",11417,"2","0","2","2000","1480",1950,1,"B3"," $450,000 ","7/8/2016",450000,1480,2000,0
"18528",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9126,106,NA,"B2","106-15 76TH   STREET"," ",11417,"2","0","2","3008","2256",1960,1,"B2"," $186,404 ","4/15/2016",186404,2256,3008,0
"18529",4,"OZONE PARK","02 TWO FAMILY DWELLINGS                    ","1",9127,27,NA,"B2","107-20 76TH STREET"," ",11417,"2","0","2","4020","2376",1960,1,"B2"," $725,000 ","10/5/2016",725000,2376,4020,0
